Date,Open,High,Low,Close,Volume,Adj Close
2013-05-29,6.88,7.00,6.88,7.00,3600,7.00
2013-05-28,7.65,7.65,7.55,7.55,10000,7.55
2013-05-27,7.60,7.60,7.60,7.60,000,7.60
2013-05-24,7.55,7.60,7.50,7.60,60900,7.60
2013-05-23,7.60,7.65,7.50,7.65,39000,7.65
2013-05-22,7.55,7.70,7.55,7.60,58600,7.60
2013-05-21,7.80,7.80,7.70,7.70,3900,7.70
2013-05-20,7.80,7.88,7.80,7.85,1501000,7.85
2013-05-17,8.30,8.30,8.00,8.00,1400,8.00
2013-05-16,8.30,8.30,8.10,8.20,5400,8.20
2013-05-15,7.80,7.80,7.80,7.80,3200,7.80
2013-05-14,7.55,7.60,7.55,7.60,13700,7.60
2013-05-13,8.00,8.00,7.60,7.70,8700,7.70
2013-05-10,8.15,8.15,8.00,8.00,1700,8.00
2013-05-09,8.51,8.51,8.20,8.20,8900,8.20
2013-05-08,8.30,8.30,8.30,8.30,000,8.30
2013-05-06,8.05,8.30,8.05,8.30,27800,8.30
2013-05-03,7.89,8.05,7.89,8.05,46500,8.05
2013-05-02,7.75,7.88,7.75,7.88,106300,7.88
2013-05-01,8.00,8.00,8.00,8.00,000,8.00
2013-04-30,7.85,7.95,7.75,7.75,268100,7.75
2013-04-29,7.93,8.00,7.90,8.00,112500,8.00
2013-04-25,7.85,7.95,7.80,7.94,18200,7.94
2013-04-24,7.90,7.90,7.90,7.90,700,7.90
2013-04-23,7.90,7.90,7.90,7.90,1200,7.90
2013-04-22,7.80,8.00,7.79,8.00,127300,8.00
2013-04-19,7.80,7.90,7.80,7.90,20700,7.90
2013-04-18,8.00,8.00,8.00,8.00,000,8.00
2013-04-17,8.05,8.05,7.95,8.00,2400,8.00
2013-04-16,8.16,8.25,8.15,8.20,168300,8.20
2013-04-15,8.16,8.16,8.16,8.16,000,8.16
2013-04-12,8.00,8.16,8.00,8.16,92500,8.16
2013-04-11,7.95,8.10,7.95,8.10,30000,8.10
2013-04-10,7.90,8.00,7.90,8.00,26300,8.00
2013-04-09,7.80,7.90,7.80,7.90,16600,7.90
2013-04-08,7.80,7.80,7.78,7.78,51800,7.78
2013-04-05,7.60,7.75,7.50,7.75,27900,7.75
2013-04-04,7.65,7.65,7.65,7.65,10300,7.65
2013-04-03,7.70,7.75,7.70,7.75,8900,7.75
2013-04-02,7.80,7.80,7.80,7.80,000,7.80
2013-04-01,7.80,7.80,7.80,7.80,000,7.80
2013-03-29,7.80,7.80,7.80,7.80,000,7.80
2013-03-28,7.80,7.80,7.80,7.80,000,7.80
2013-03-27,7.75,7.80,7.75,7.80,4500,7.80
2013-03-26,7.60,7.73,7.60,7.73,9500,7.73
2013-03-25,7.70,7.70,7.50,7.60,4500,7.60
2013-03-22,7.80,7.80,7.70,7.70,11500,7.70
2013-03-21,8.00,8.00,7.95,8.00,6800,8.00
2013-03-20,7.50,8.00,7.50,8.00,1319400,8.00
2013-03-19,7.50,7.50,7.50,7.50,24400,7.50
2013-03-18,7.60,7.60,7.50,7.50,7400,7.50
2013-03-15,7.60,7.70,7.60,7.70,3700,7.70
2013-03-14,7.70,7.70,7.50,7.60,17800,7.60
2013-03-13,7.40,7.60,7.40,7.55,120200,7.55
2013-03-12,7.35,7.35,7.30,7.30,4800,7.30
2013-03-11,7.61,7.61,7.40,7.50,6300,7.50
2013-03-08,7.40,7.75,7.40,7.65,36900,7.65
2013-03-07,7.30,7.40,7.30,7.35,15900,7.35
2013-03-06,7.10,7.25,7.10,7.25,23300,7.25
2013-03-05,6.65,7.10,6.65,7.00,23500,7.00
2013-03-04,6.70,6.71,6.70,6.70,10300,6.70
2013-03-01,6.50,6.62,6.50,6.55,12400,6.55
2013-02-28,6.65,6.65,6.60,6.60,12600,6.60
2013-02-27,6.51,6.71,6.51,6.71,2394500,6.71
2013-02-26,6.49,6.55,6.48,6.50,100,6.50
2013-02-25,6.45,6.50,6.40,6.48,184300,6.48
2013-02-22,6.50,6.50,6.48,6.48,2700,6.48
2013-02-21,6.34,6.55,6.30,6.55,57400,6.55
2013-02-20,6.35,6.35,6.35,6.35,000,6.35
2013-02-19,6.35,6.35,6.30,6.35,4500,6.35
2013-02-18,6.28,6.28,6.28,6.28,000,6.28
2013-02-15,6.35,6.35,6.25,6.28,000,6.28
2013-02-14,6.35,6.35,6.35,6.35,600,6.35
2013-02-13,6.35,6.35,6.35,6.35,1300,6.35
2013-02-12,6.60,6.60,6.60,6.60,000,6.60
2013-02-08,6.60,6.60,6.60,6.60,3200,6.60
2013-02-07,6.85,6.90,6.85,6.85,4000,6.85
2013-02-06,6.70,6.80,6.70,6.80,15100,6.80
2013-02-05,6.60,6.60,6.60,6.60,900,6.60
2013-02-01,7.00,7.05,6.90,6.90,7800,6.90
2013-01-31,6.80,6.80,6.80,6.80,000,6.80
2013-01-30,6.76,6.80,6.70,6.80,68500,6.80
2013-01-29,6.74,6.74,6.70,6.70,3900,6.70
2013-01-28,6.66,6.76,6.66,6.76,2700,6.76
2013-01-25,6.80,6.80,6.66,6.66,9000,6.66
2013-01-24,6.79,6.90,6.60,6.62,19700,6.62
2013-01-23,6.80,6.85,6.72,6.80,45400,6.80
2013-01-22,6.25,6.87,6.25,6.80,74800,6.80
2013-01-21,6.28,6.28,6.20,6.25,4800,6.25
2013-01-18,6.00,6.40,6.00,6.32,62500,6.32
2013-01-17,5.89,5.90,5.89,5.90,9700,5.90
2013-01-16,5.89,6.00,5.89,5.90,27500,5.90
2013-01-15,5.80,5.89,5.80,5.89,15600,5.89
2013-01-14,5.90,5.90,5.90,5.90,500,5.90
2013-01-11,5.82,5.97,5.82,5.97,3100,5.97
2013-01-10,5.70,5.84,5.70,5.84,21700,5.84
2013-01-09,5.60,5.61,5.60,5.61,17800,5.61
2013-01-08,5.18,5.60,5.18,5.60,267900,5.60
2013-01-07,5.10,5.10,5.10,5.10,4000,5.10
2013-01-04,5.07,5.10,5.07,5.07,38600,5.07
2013-01-03,4.99,5.10,4.99,5.10,71300,5.10
2013-01-02,4.85,4.95,4.80,4.95,139100,4.95
2013-01-01,4.80,4.80,4.80,4.80,000,4.80
2012-12-31,4.80,4.80,4.80,4.80,000,4.80
2012-12-28,4.78,4.80,4.78,4.80,12100,4.80
2012-12-27,4.70,4.80,4.70,4.79,18500,4.79
2012-12-26,4.70,4.70,4.65,4.65,000,4.65
2012-12-25,4.70,4.70,4.70,4.70,000,4.70
2012-12-24,4.70,4.70,4.70,4.70,000,4.70
2012-12-21,4.83,4.85,4.70,4.70,11300,4.70
2012-12-20,4.93,4.95,4.90,4.90,45600,4.90
2012-12-19,5.00,5.00,4.90,4.93,13000,4.93
2012-12-18,5.00,5.05,5.00,5.00,53100,5.00
2012-12-17,4.85,4.99,4.85,4.95,100,4.95
2012-12-14,4.90,4.95,4.90,4.95,10600,4.95
2012-12-13,4.80,4.90,4.80,4.90,000,4.90
2012-12-11,4.85,4.85,4.80,4.80,205600,4.80
2012-12-10,4.70,4.80,4.65,4.80,70900,4.80
2012-12-07,4.70,4.70,4.65,4.70,31800,4.70
2012-12-06,4.70,4.70,4.65,4.65,11300,4.65
2012-12-05,4.90,4.90,4.72,4.73,111800,4.73
2012-12-04,4.80,4.90,4.80,4.90,9000,4.90
2012-12-03,4.80,4.80,4.80,4.80,1400,4.80
2012-11-30,4.81,4.81,4.80,4.80,5000,4.80
