fecha 	 low 	 open 	 close 	 high 	 highpoint 	 lowpoint 	 ema short 	 ema mid 	 signal 	 shorttrend 	 midtrend 	 longtrend 	 action 
 2001-01-08	1,86	1,86	1,86	1,88	1,733	1,7872	1,2224	false	false	null	null	UPTREND	1
09/01/2001	1,86	1,95	1,95	1,95	1,7601	1,7936	1,1736	false	true	null	null	UPTREND	0
10/01/2001	1,96	1,98	1,98	1,98	1,7876	1,8009	1,1899	false	false	null	null	UPTREND	0
11/01/2001	1,98	1,98	1,98	1,98	1,8116	1,8079	0,3254	true	false	null	null	UPTREND	0
12/01/2001	1,95	1,95	1,95	1,97	1,8289	1,8135	1,1278	false	false	null	null	UPTREND	0
15/01/2001	1,94	1,94	1,94	1,94	1,8428	1,8185	0,9155	false	false	null	null	UPTREND	0
16/01/2001	1,94	1,94	1,94	1,94	1,855	1,8232	0,7172	false	true	null	null	UPTREND	0
17/01/2001	1,96	2,01	2,01	2,01	1,8743	1,8306	0,7512	false	false	null	null	UPTREND	0
18/01/2001	2	2	2	2,02	1,89	1,8372	0,7859	true	false	null	null	UPTREND	0
19/01/2001	2	2	2	2	1,9038	1,8436	0,8068	false	false	null	null	UPTREND	0
22/01/2001	1,99	2	2	2,02	1,9158	1,8497	0,687	true	false	null	null	UPTREND	0
23/01/2001	1,98	2	2	2	1,9263	1,8556	0,602	false	true	null	null	UPTREND	0
24/01/2001	2	2,04	2,04	2,04	1,9405	1,8628	0,6096	false	false	null	null	UPTREND	0
25/01/2001	2,06	2,06	2,06	2,06	1,9555	1,8706	0,6572	false	false	null	null	UPTREND	0
26/01/2001	2,06	2,06	2,06	2,06	1,9685	1,878	0,6988	true	false	null	null	UPTREND	0
29/01/2001	2,02	2,02	2,02	2,03	1,975	1,8836	0,5713	false	false	null	null	UPTREND	0
30/01/2001	2,02	2,02	2,02	2,02	1,9806	1,8889	0,4178	false	true	null	null	UPTREND	0
31/01/2001	2,03	2,05	2,05	2,05	1,9893	1,8952	0,345	false	false	null	null	UPTREND	0
01/02/2001	2,04	2,04	2,04	2,05	1,9956	1,9009	0,3484	true	false	null	null	UPTREND	0
02/02/2001	1,97	1,97	1,97	2	1,9924	1,9036	0,2323	false	false	null	null	UPTREND	0
05/02/2001	1,95	1,95	1,95	1,97	1,9871	1,9054	-0,9897	false	false	null	null	UPTREND	-1
06/02/2001	1,95	1,95	1,95	1,95	1,9825	1,9072	-0,2189	false	false	null	null	UPTREND	0
07/02/2001	1,95	1,96	1,96	1,96	1,9797	1,9093	-0,2124	false	true	null	null	DOWNTREND	0
08/02/2001	1,96	1,96	1,96	1,96	1,9772	1,9113	-0,1651	false	false	null	null	DOWNTREND	0
09/02/2001	1,93	1,96	1,96	1,96	1,9751	1,9132	-0,1236	false	true	null	null	DOWNTREND	0
12/02/2001	1,96	1,96	1,96	1,96	1,9732	1,915	-0,1082	true	false	null	null	DOWNTREND	0
13/02/2001	1,93	1,94	1,94	1,94	1,969	1,916	-0,1363	false	false	null	null	DOWNTREND	0
14/02/2001	1,88	1,88	1,88	1,92	1,9579	1,9146	-0,2856	false	false	null	null	DOWNTREND	0
15/02/2001	1,86	1,89	1,89	1,91	1,9494	1,9136	-0,3899	false	false	null	null	DOWNTREND	0
16/02/2001	1,84	1,84	1,84	1,87	1,9357	1,9107	-0,5526	false	false	null	null	DOWNTREND	0
19/02/2001	1,84	1,84	1,84	1,84	1,9238	1,9079	-0,5664	false	false	null	null	DOWNTREND	0
20/02/2001	1,84	1,84	1,84	1,85	1,9133	1,9053	-0,599	true	false	null	null	DOWNTREND	0
21/02/2001	1,76	1,8	1,8	1,81	1,8991	1,9012	-0,1533	false	true	null	null	DOWNTREND	0
22/02/2001	1,77	1,77	1,77	1,79	1,883	1,896	-0,6754	false	false	null	null	DOWNTREND	0
23/02/2001	1,77	1,79	1,79	1,79	1,8714	1,8919	-0,6831	false	false	null	null	DOWNTREND	0
26/02/2001	1,78	1,78	1,78	1,78	1,8599	1,8875	-0,6494	false	false	null	null	DOWNTREND	0
27/02/2001	1,74	1,76	1,76	1,78	1,8475	1,8825	-0,5896	false	false	null	null	DOWNTREND	0
28/02/2001	1,71	1,71	1,71	1,73	1,8303	1,8757	-0,6807	false	false	null	null	DOWNTREND	0
01/03/2001	1,62	1,62	1,62	1,68	1,804	1,8657	-0,9221	false	false	null	null	DOWNTREND	0
02/03/2001	1,5	1,59	1,59	1,59	1,7772	1,8549	-1,1495	false	true	null	null	DOWNTREND	0
05/03/2001	1,63	1,73	1,73	1,73	1,7713	1,85	-0,889	true	false	null	null	DOWNTREND	0
06/03/2001	1,67	1,67	1,67	1,7	1,7587	1,8429	-0,7497	false	false	null	null	DOWNTREND	0
07/03/2001	1,67	1,67	1,67	1,67	1,7476	1,8361	-0,4927	false	false	null	null	DOWNTREND	0
08/03/2001	1,69	1,7	1,7	1,7	1,7416	1,8308	-0,4934	false	false	null	null	DOWNTREND	0
09/03/2001	1,68	1,73	1,73	1,73	1,7402	1,8268	-0,2904	false	true	null	null	UPTREND	0
12/03/2001	1,7	1,7	1,7	1,7	1,7352	1,8219	-0,1893	false	false	null	null	UPTREND	0
13/03/2001	1,71	1,73	1,73	1,73	1,7345	1,8183	-0,1187	false	false	null	null	UPTREND	0
14/03/2001	1,71	1,73	1,73	1,73	1,734	1,8148	-0,1039	true	false	null	null	UPTREND	0
15/03/2001	1,62	1,66	1,66	1,66	1,7247	1,8087	-0,132	false	false	null	null	UPTREND	0
16/03/2001	1,6	1,66	1,66	1,66	1,7166	1,8029	-0,2979	false	true	null	null	DOWNTREND	0
19/03/2001	1,62	1,65	1,65	1,65	1,7083	1,7969	-0,4266	false	false	null	null	DOWNTREND	0
20/03/2001	1,65	1,65	1,65	1,65	1,701	1,7911	-0,3942	false	false	null	null	DOWNTREND	0
21/03/2001	1,57	1,57	1,57	1,57	1,6846	1,7825	-0,5311	false	false	null	null	DOWNTREND	0
22/03/2001	1,45	1,49	1,49	1,51	1,6603	1,771	-0,7931	false	false	null	null	DOWNTREND	0
23/03/2001	1,39	1,48	1,48	1,48	1,6378	1,7596	-1,0388	false	true	null	null	DOWNTREND	0
26/03/2001	1,5	1,54	1,54	1,54	1,6255	1,751	-0,9334	false	false	null	null	DOWNTREND	0
27/03/2001	1,52	1,55	1,55	1,55	1,6161	1,7431	-0,725	true	false	null	null	DOWNTREND	0
28/03/2001	1,51	1,51	1,51	1,51	1,6028	1,734	-0,5795	false	false	null	null	DOWNTREND	0
29/03/2001	1,47	1,47	1,47	1,48	1,5862	1,7236	-0,6515	false	false	null	null	DOWNTREND	0
30/03/2001	1,47	1,47	1,47	1,47	1,5717	1,7137	-0,7346	false	false	null	null	DOWNTREND	0
02/04/2001	1,47	1,47	1,47	1,47	1,559	1,7041	-0,7256	false	false	null	null	DOWNTREND	0
03/04/2001	1,35	1,35	1,35	1,45	1,5329	1,6902	-0,8802	false	false	null	null	DOWNTREND	0
04/04/2001	1,34	1,34	1,34	1,38	1,5088	1,6765	-1,0341	false	true	null	null	DOWNTREND	0
05/04/2001	1,38	1,4	1,4	1,4	1,4952	1,6656	-1,0053	false	false	null	null	DOWNTREND	0
06/04/2001	1,4	1,4	1,4	1,4	1,4833	1,6552	-0,8192	false	false	null	null	DOWNTREND	0
09/04/2001	1,43	1,43	1,43	1,43	1,4766	1,6464	-0,5338	false	false	null	null	DOWNTREND	0
10/04/2001	1,45	1,45	1,45	1,47	1,4733	1,6387	-0,364	true	false	null	null	DOWNTREND	0
11/04/2001	1,42	1,42	1,42	1,43	1,4666	1,6301	-0,2771	false	false	null	null	DOWNTREND	0
12/04/2001	1,42	1,42	1,42	1,42	1,4608	1,6219	-0,2633	false	false	null	null	DOWNTREND	0
13/04/2001	1,42	1,42	1,42	1,42	1,4557	1,614	-0,2928	false	false	null	null	DOWNTREND	0
16/04/2001	1,38	1,38	1,38	1,4	1,4462	1,6048	-0,3393	false	true	null	null	UPTREND	0
17/04/2001	1,39	1,4	1,4	1,4	1,4405	1,5968	-0,3385	false	false	null	null	UPTREND	0
18/04/2001	1,42	1,47	1,47	1,47	1,4441	1,5918	-0,1924	true	false	null	null	UPTREND	0
19/04/2001	1,42	1,42	1,42	1,43	1,4411	1,585	-0,0499	false	false	null	null	UPTREND	0
20/04/2001	1,35	1,37	1,37	1,4	1,4322	1,5766	-0,1004	false	false	null	null	UPTREND	0
23/04/2001	1,35	1,35	1,35	1,35	1,422	1,5677	-0,3692	false	false	null	null	UPTREND	0
24/04/2001	1,32	1,32	1,32	1,35	1,4092	1,558	-0,5299	false	false	null	null	UPTREND	0
25/04/2001	1,3	1,33	1,33	1,33	1,3993	1,5491	-0,5466	false	true	null	null	DOWNTREND	0
26/04/2001	1,36	1,36	1,36	1,37	1,3944	1,5417	-0,436	false	false	null	null	DOWNTREND	0
27/04/2001	1,36	1,37	1,37	1,37	1,3913	1,5349	-0,2901	false	false	null	null	DOWNTREND	0
30/04/2001	1,35	1,36	1,36	1,38	1,3874	1,5281	-0,1979	false	true	null	null	DOWNTREND	0
01/05/2001	1,36	1,36	1,36	1,36	1,384	1,5215	-0,1732	false	false	null	null	DOWNTREND	0
02/05/2001	1,36	1,36	1,36	1,36	1,381	1,5151	-0,1724	false	false	null	null	DOWNTREND	0
03/05/2001	1,38	1,38	1,38	1,38	1,3809	1,5098	-0,1092	false	false	null	null	DOWNTREND	0
04/05/2001	1,39	1,41	1,41	1,41	1,3845	1,5059	0	false	false	null	null	UPTREND	0
07/05/2001	1,41	1,41	1,41	1,41	1,3877	1,5022	0,1117	false	false	null	null	UPTREND	1
08/05/2001	1,41	1,41	1,41	1,41	1,3905	1,4985	0,1602	false	false	null	null	UPTREND	0
09/05/2001	1,41	1,41	1,41	1,41	1,3929	1,4951	0,1402	true	false	null	null	UPTREND	0
10/05/2001	1,35	1,35	1,35	1,35	1,3876	1,4894	-1	false	false	null	null	UPTREND	-1
11/05/2001	1,32	1,35	1,35	1,35	1,3829	1,4839	-0,127	false	true	null	null	DOWNTREND	0
14/05/2001	1,33	1,33	1,33	1,33	1,3763	1,4779	-0,2775	false	false	null	null	DOWNTREND	0
15/05/2001	1,3	1,3	1,3	1,3	1,3667	1,4709	-0,3467	false	true	null	null	DOWNTREND	0
16/05/2001	1,32	1,34	1,34	1,34	1,3634	1,4658	-0,3242	false	false	null	null	DOWNTREND	0
17/05/2001	1,32	1,35	1,35	1,35	1,3617	1,4612	-0,2348	false	false	null	null	DOWNTREND	0
18/05/2001	1,39	1,4	1,4	1,4	1,3665	1,4588	0	false	false	null	null	DOWNTREND	0
21/05/2001	1,4	1,4	1,4	1,4	1,3707	1,4565	0,1217	false	false	null	null	DOWNTREND	1
22/05/2001	1,4	1,41	1,41	1,41	1,3756	1,4547	0,2313	false	false	null	null	DOWNTREND	0
23/05/2001	1,4	1,4	1,4	1,41	1,3787	1,4526	0,2024	false	false	null	null	DOWNTREND	0
24/05/2001	1,42	1,42	1,42	1,42	1,3838	1,4513	0,2328	false	false	null	null	DOWNTREND	0
25/05/2001	1,42	1,42	1,42	1,42	1,3883	1,4501	0,2122	false	false	null	null	DOWNTREND	0
28/05/2001	1,45	1,45	1,45	1,45	1,396	1,4501	0,2897	false	false	null	null	DOWNTREND	0
29/05/2001	1,45	1,45	1,45	1,45	1,4028	1,45	0,3158	false	false	null	null	DOWNTREND	0
30/05/2001	1,45	1,45	1,45	1,45	1,4087	1,45	0,3387	false	false	null	null	DOWNTREND	0
31/05/2001	1,45	1,47	1,47	1,47	1,4164	1,4508	0,338	false	false	null	null	DOWNTREND	0
01/06/2001	1,47	1,48	1,48	1,48	1,4243	1,452	0,3648	false	false	null	null	DOWNTREND	0
04/06/2001	1,52	1,55	1,55	1,55	1,44	1,4558	0,5654	false	false	null	null	DOWNTREND	0
05/06/2001	1,6	1,61	1,61	1,63	1,4613	1,4619	0,7803	true	false	null	null	DOWNTREND	0
06/06/2001	1,6	1,62	1,62	1,62	1,4811	1,4681	0,2407	false	false	null	null	DOWNTREND	0
07/06/2001	1,63	1,7	1,7	1,71	1,5085	1,4772	1,1687	true	false	null	null	DOWNTREND	0
08/06/2001	1,67	1,67	1,67	1,69	1,5287	1,4847	1,1049	false	false	null	null	DOWNTREND	0
11/06/2001	1,67	1,67	1,67	1,67	1,5463	1,492	1,0703	false	false	null	null	DOWNTREND	0
12/06/2001	1,65	1,66	1,66	1,66	1,5605	1,4986	0,8592	false	false	null	null	DOWNTREND	0
13/06/2001	1,65	1,65	1,65	1,68	1,5717	1,5045	0,7128	true	false	null	null	DOWNTREND	0
14/06/2001	1,64	1,65	1,65	1,67	1,5815	1,5102	0,5836	false	false	null	null	DOWNTREND	0
15/06/2001	1,63	1,64	1,64	1,64	1,5888	1,5153	0,4699	false	true	null	null	UPTREND	0
18/06/2001	1,64	1,64	1,64	1,64	1,5952	1,5202	0,3908	false	false	null	null	UPTREND	0
19/06/2001	1,59	1,61	1,61	1,61	1,5971	1,5237	0,2591	false	true	null	null	DOWNTREND	0
20/06/2001	1,61	1,65	1,65	1,67	1,6037	1,5287	0,2718	false	false	null	null	DOWNTREND	0
21/06/2001	1,65	1,67	1,67	1,67	1,612	1,5342	0,279	false	false	null	null	DOWNTREND	0
22/06/2001	1,67	1,67	1,67	1,67	1,6192	1,5395	0,3687	false	false	null	null	DOWNTREND	0
25/06/2001	1,68	1,7	1,7	1,72	1,6293	1,5458	0,4263	true	false	null	null	DOWNTREND	0
26/06/2001	1,7	1,7	1,7	1,7	1,6382	1,5519	0,4353	false	false	null	null	DOWNTREND	0
27/06/2001	1,7	1,71	1,71	1,71	1,6471	1,5581	0,4639	true	false	null	null	DOWNTREND	0
28/06/2001	1,67	1,68	1,68	1,7	1,6512	1,5629	0,3647	false	false	null	null	DOWNTREND	0
29/06/2001	1,58	1,63	1,63	1,68	1,6486	1,5655	0,1738	false	true	null	null	DOWNTREND	0
02/07/2001	1,59	1,59	1,59	1,62	1,6413	1,5665	-1	false	false	null	null	DOWNTREND	-1
03/07/2001	1,5	1,5	1,5	1,59	1,6236	1,5638	-0,4593	false	false	null	null	DOWNTREND	0
04/07/2001	1,5	1,5	1,5	1,5	1,6082	1,5613	-0,6698	false	false	null	null	DOWNTREND	0
05/07/2001	1,46	1,48	1,48	1,5	1,5921	1,5582	-0,8116	false	false	null	null	DOWNTREND	0
06/07/2001	1,46	1,46	1,46	1,46	1,5756	1,5543	-0,7931	false	false	null	null	DOWNTREND	0
09/07/2001	1,46	1,46	1,46	1,46	1,5612	1,5506	-0,7768	false	false	null	null	DOWNTREND	0
10/07/2001	1,43	1,43	1,43	1,44	1,5448	1,5459	-0,1975	false	false	null	null	DOWNTREND	0
11/07/2001	1,3	1,36	1,36	1,37	1,5217	1,5386	-0,8896	false	false	null	null	DOWNTREND	0
12/07/2001	1,24	1,29	1,29	1,29	1,4927	1,5288	-1,1217	false	true	null	null	DOWNTREND	0
13/07/2001	1,3	1,37	1,37	1,37	1,4774	1,5226	-1,0465	true	false	null	null	DOWNTREND	0
16/07/2001	1,34	1,34	1,34	1,34	1,4602	1,5154	-1,0105	false	false	null	null	DOWNTREND	0
17/07/2001	1,37	1,4	1,4	1,4	1,4527	1,5109	-0,6634	false	false	null	null	DOWNTREND	0
18/07/2001	1,39	1,39	1,39	1,4	1,4448	1,5062	-0,5401	true	false	null	null	DOWNTREND	0
19/07/2001	1,37	1,37	1,37	1,37	1,4355	1,5008	-0,411	false	true	null	null	DOWNTREND	0
20/07/2001	1,39	1,4	1,4	1,4	1,4311	1,4969	-0,3598	false	false	null	null	UPTREND	0
23/07/2001	1,42	1,43	1,43	1,43	1,4309	1,4943	-0,2319	false	false	null	null	UPTREND	0
24/07/2001	1,42	1,42	1,42	1,43	1,4296	1,4914	-0,0918	true	false	null	null	UPTREND	0
25/07/2001	1,39	1,42	1,42	1,42	1,4284	1,4886	-0,0449	false	false	null	null	UPTREND	0
26/07/2001	1,39	1,39	1,39	1,4	1,4236	1,4847	-0,101	false	false	null	null	UPTREND	0
27/07/2001	1,39	1,39	1,39	1,39	1,4194	1,481	-0,1697	false	true	null	null	UPTREND	0
30/07/2001	1,4	1,4	1,4	1,42	1,4169	1,4778	-0,1901	true	false	null	null	UPTREND	0
31/07/2001	1,38	1,38	1,38	1,39	1,4123	1,474	-0,1727	false	false	null	null	UPTREND	0
01/08/2001	1,34	1,34	1,34	1,39	1,4033	1,4687	-0,2379	false	false	null	null	UPTREND	0
02/08/2001	1,34	1,35	1,35	1,36	1,3966	1,4641	-0,3382	false	false	null	null	UPTREND	0
03/08/2001	1,34	1,34	1,34	1,35	1,3895	1,4592	-0,379	false	false	null	null	UPTREND	0
06/08/2001	1,32	1,32	1,32	1,32	1,3809	1,4537	-0,358	false	false	null	null	UPTREND	0
07/08/2001	1,28	1,3	1,3	1,3	1,3707	1,4477	-0,4303	false	true	null	null	DOWNTREND	0
